TIME,BARALT,MBS,AIRT,DRAD,LAT,LON,GPS,ALT
16:18:25,121121.0,4.28,-24.5,24.2,34.78666666666667,-104.58333333333333,37226.0,
16:19:25,121121.0,4.28,-26.2,24.6,34.79666666666667,-104.565,37255.0,
16:20:25,121012.0,4.3,-25.9,25.4,34.803333333333335,-104.54833333333333,37226.0,
16:21:25,121012.0,4.3,-25.9,25.4,34.81166666666667,-104.53,37200.0,
16:22:25,121067.0,4.29,-26.2,25.8,34.82,-104.51166666666667,37213.0,
16:23:25,121121.0,4.28,-25.2,26.2,34.82666666666667,-104.49666666666667,37236.0,
16:24:25,121231.0,4.26,-24.6,27.1,34.835,-104.47833333333334,37267.0,
16:25:25,121176.0,4.27,-25.3,27.1,34.843333333333334,-104.46166666666667,37279.0,
16:26:25,121067.0,4.29,-26.6,27.5,34.85166666666667,-104.445,37255.0,
16:27:25,121121.0,4.28,-27.6,27.1,34.858333333333334,-104.43166666666667,37246.0,
16:28:26,121121.0,4.28,-28.2,27.1,34.86666666666667,-104.415,37251.0,
16:29:26,121287.0,4.25,-25.3,27.1,34.875,-104.39833333333333,37274.0,
16:30:26,121398.0,4.23,-28.0,27.1,34.885,-104.38166666666666,37325.0,
16:31:26,121287.0,4.25,-28.5,27.1,34.89333333333333,-104.36666666666666,37300.0,
16:32:26,121176.0,4.27,-29.4,26.2,34.903333333333336,-104.35,37274.0,
16:33:26,121012.0,4.3,-29.7,27.1,34.91166666666667,-104.33333333333333,37238.0,
16:34:26,120903.0,4.32,-28.2,26.7,34.92,-104.32,37178.0,
16:35:26,121121.0,4.28,-28.8,27.1,34.928333333333335,-104.305,37208.0,
16:36:26,121342.0,4.24,-29.3,27.5,34.93833333333333,-104.29,37273.0,
16:37:26,121342.0,4.24,-28.4,27.5,34.946666666666665,-104.275,37306.0,
16:38:26,121342.0,4.24,-30.1,25.4,34.955,-104.25833333333334,37300.0,
16:39:26,121398.0,4.23,-30.0,22.3,34.96333333333333,-104.24166666666666,37310.0,
16:40:26,121342.0,4.24,-29.7,19.8,34.971666666666664,-104.22833333333334,37313.0,
16:41:26,121176.0,4.27,-29.7,17.1,34.98,-104.21166666666667,37275.0,
16:42:26,121067.0,4.29,-30.6,15.5,34.98833333333333,-104.19666666666667,37225.0,
16:43:26,121231.0,4.26,-27.8,14.3,34.998333333333335,-104.18166666666667,37236.0,
16:44:26,121453.0,4.22,-30.3,13.4,35.00666666666667,-104.16666666666667,37306.0,
16:45:26,121509.0,4.21,-30.5,12.0,35.015,-104.15166666666667,37340.0,
16:46:26,121287.0,4.25,-29.7,10.9,35.02333333333333,-104.13833333333334,37312.0,
16:47:26,121067.0,4.29,-30.1,9.9,35.031666666666666,-104.12166666666667,37237.0,
16:48:26,121012.0,4.3,-30.7,9.4,35.041666666666664,-104.10666666666667,37185.0,
16:49:26,121176.0,4.27,-27.8,9.1,35.05,-104.09166666666667,37218.0,
16:50:26,121342.0,4.24,-31.9,9.1,35.05833333333333,-104.07666666666667,37280.0,
16:51:27,121342.0,4.24,-29.6,9.1,35.068333333333335,-104.06166666666667,37296.0,
16:52:27,121287.0,4.25,-29.6,10.2,35.07666666666667,-104.045,37276.0,
16:53:27,121231.0,4.26,-29.7,12.6,35.085,-104.03,37252.0,
16:54:27,121287.0,4.25,-30.1,15.9,35.093333333333334,-104.015,37256.0,
16:55:27,121453.0,4.22,-30.6,18.8,35.10166666666667,-106.0,37293.0,
16:56:27,121509.0,4.21,-27.2,20.9,35.111666666666665,-105.98333333333333,37332.0,
16:57:27,121509.0,4.21,-31.1,22.7,35.12166666666667,-105.96833333333333,37343.0,
16:58:27,121453.0,4.22,-31.8,23.9,35.13166666666667,-105.95333333333333,37328.0,
16:59:27,121342.0,4.24,-31.2,25.1,35.14,-105.93833333333333,37287.0,
17:00:27,121398.0,4.23,-31.1,25.9,35.15,-105.92333333333333,37284.0,
17:01:27,121453.0,4.22,-31.0,26.3,35.16,-105.91,37307.0,
17:02:27,121453.0,4.22,-30.4,27.2,35.17,-105.89666666666666,37301.0,
17:03:27,121453.0,4.22,-31.6,27.6,35.18,-105.88166666666666,37301.0,
17:04:27,121453.0,4.22,-31.2,27.6,35.19,-105.86666666666666,37306.0,
17:05:27,121342.0,4.24,-30.6,28.0,35.2,-105.85166666666667,37280.0,
17:06:27,121398.0,4.23,-30.2,28.0,35.21,-105.83833333333334,37276.0,
17:07:27,121453.0,4.22,-30.1,28.9,35.218333333333334,-105.825,37311.0,
17:08:27,121398.0,4.23,-29.3,28.9,35.23,-105.81,37304.0,
17:09:27,121342.0,4.24,-28.2,28.9,35.24,-105.795,37276.0,
17:10:27,121453.0,4.22,-27.5,29.9,35.248333333333335,-105.78166666666667,37290.0,
17:11:27,121398.0,4.23,-27.2,30.8,35.26,-105.76666666666667,37302.0,
17:12:27,121231.0,4.26,-26.4,30.8,35.27,-105.75333333333333,37266.0,
17:13:28,121287.0,4.25,-26.0,30.8,35.28,-105.74,37260.0,
17:14:28,121398.0,4.23,-30.0,30.8,35.288333333333334,-105.72666666666667,37295.0,
17:15:28,121398.0,4.23,-27.2,28.9,35.29833333333333,-105.715,37309.0,
17:16:28,121342.0,4.24,-27.3,26.3,35.306666666666665,-105.70166666666667,37299.0,
17:17:28,121342.0,4.24,-27.5,23.9,35.31666666666667,-105.69,37284.0,
17:18:28,121398.0,4.23,-27.1,21.3,35.32333333333333,-105.68,37294.0,
17:19:28,121398.0,4.23,-27.3,19.5,35.333333333333336,-105.66666666666667,37306.0,
17:20:28,121453.0,4.22,-31.0,18.2,35.34166666666667,-105.655,37314.0,
17:21:28,121509.0,4.21,-27.1,16.2,35.35,-105.64333333333333,37333.0,
17:22:28,121565.0,4.2,-26.8,16.9,35.36,-105.63166666666666,37353.0,
17:23:28,121565.0,4.2,-26.8,19.2,35.36833333333333,-105.61833333333334,37363.0,
17:24:28,121621.0,4.19,-27.2,21.6,35.37833333333333,-105.60833333333333,37369.0,
17:25:28,121621.0,4.19,-27.2,23.9,35.38666666666666,-105.59666666666666,37375.0,
17:26:28,121733.0,4.17,-27.0,25.9,35.395,-105.585,37389.0,
17:27:28,121733.0,4.17,-27.2,28.1,35.405,-105.57333333333334,37400.0,
17:28:28,121677.0,4.18,-27.4,29.0,35.413333333333334,-105.56166666666667,37394.0,
17:29:28,121565.0,4.2,-27.5,30.8,35.42333333333333,-105.55166666666666,37363.0,
17:30:28,121509.0,4.21,-27.3,30.8,35.43,-105.54166666666667,37342.0,
17:31:28,121565.0,4.2,-27.5,31.8,35.43833333333333,-105.53,37346.0,
17:32:28,121733.0,4.17,-27.9,32.3,35.44833333333333,-105.51833333333333,37379.0,
17:33:28,121733.0,4.17,-28.8,32.3,35.45666666666666,-105.50833333333334,37402.0,
17:34:28,121677.0,4.18,-28.8,32.3,35.465,-105.49666666666667,37389.0,
17:35:28,121677.0,4.18,-28.7,32.8,35.471666666666664,-105.48666666666666,37380.0,
17:36:29,121847.0,4.15,-28.8,32.8,35.48,-105.47666666666667,37410.0,
17:37:29,121903.0,4.14,-30.3,32.8,35.48833333333334,-105.465,37446.0,
